NO_KASUS,TAHUN,REGISTER,AGENDA_KE,AGENDA_RAW
2893,2018,052/XI/KIP-PS/2018,2,13/02/2020 (Mediasi I)
2893,2018,052/XI/KIP-PS/2018,3,21/02/2020 (Pembacaan Putusan)
2894,2018,053/XI/KIP-PS/2018,1,2019-02-05 00:00:00
2894,2018,053/XI/KIP-PS/2018,2,2 September 2020 (P.Putusan)
2895,2018,054/XI/KIP-PS/2018,1,2019-02-05 00:00:00
2895,2018,054/XI/KIP-PS/2018,2,12/02/2020 (Pembacaan Putusan)
2897,2018,056/XI/KIP-PS/2018,1,2020-01-05 00:00:00
2897,2018,056/XI/KIP-PS/2018,2,2020-03-03 00:00:00
2897,2018,056/XI/KIP-PS/2018,3,2020-07-08 00:00:00
2897,2018,056/XI/KIP-PS/2018,4,22/07/2020 (MediasiI)
2897,2018,056/XI/KIP-PS/2018,5,"Kamis, 30 Juli 2020 (Pembacaan Putusan) ONLINE"
2899,2018,058/XI/KIP-PS/2018,1,2020-12-01 00:00:00
2899,2018,058/XI/KIP-PS/2018,2,02/02/2021 (Putusan)
2900,2019,001/I/KIP-PS/2019,1,30/01/2019 (Pemeriksaan Awal)
2900,2019,001/I/KIP-PS/2019,2,2020-02-05 00:00:00
2900,2019,001/I/KIP-PS/2019,3,2020-02-20 00:00:00
2900,2019,001/I/KIP-PS/2019,4,2020-03-03 00:00:00
2900,2019,001/I/KIP-PS/2019,5,2020-03-16 00:00:00
2901,2019,002/I/KIP-PS/2019,1,23/01/2020 (Pemeriksaan Awal)
2901,2019,002/I/KIP-PS/2019,2,2020-01-29 00:00:00
2901,2019,002/I/KIP-PS/2019,3,11/02/2020 (Mediasi I)
2901,2019,002/I/KIP-PS/2019,4,14/02/2010 (Mediasi II)
2901,2019,002/I/KIP-PS/2019,5,20/02/2020 (Mediasi III)
2901,2019,002/I/KIP-PS/2019,6,20/007/2020 (LANJUTAN)
2901,2019,002/I/KIP-PS/2019,7,"Kamis, 30 Juli 2020 (Pemeriksaan Tetutup)"
2901,2019,002/I/KIP-PS/2019,8,2020-09-24 00:00:00
2901,2019,002/I/KIP-PS/2019,9,1 Oktober 2020 (Putusan)
2902,2019,003/I/KIP-PS/2019,1,23/01/2020 (Pemeriksaan Awal)
2902,2019,003/I/KIP-PS/2019,2,2020-01-28 00:00:00
2902,2019,003/I/KIP-PS/2019,3,2020-02-11 00:00:00
2902,2019,003/I/KIP-PS/2019,4,11/03/2020 (Pembacaan Putusan)
2903,2019,004/I/KIP-PS/2019,1,23/01/2020 (Pemeriksaan Awal)
2903,2019,004/I/KIP-PS/2019,2,2020-01-28 00:00:00
2903,2019,004/I/KIP-PS/2019,3,2020-02-11 00:00:00
2903,2019,004/I/KIP-PS/2019,4,11/03/2020 (Pembacaan Putusan)
2904,2019,005/I/KIP-PS/2019,1,30/01/2019 (Pemeriksaan Awal)
2904,2019,005/I/KIP-PS/2019,2,2020-02-05 00:00:00
2904,2019,005/I/KIP-PS/2019,3,2020-02-12 00:00:00
2904,2019,005/I/KIP-PS/2019,4,2020-02-20 00:00:00
2904,2019,005/I/KIP-PS/2019,5,03/03/2020 (Pembacaan Putusan)
2907,2019,008/II/KIP-PS/2019,1,26 Agustus 2025 (Pembacaan Putusan)
2908,2019,009/III/KIP-PS/2019,1,06/08/2021 (Pemeriksaan Awal)
2908,2019,009/III/KIP-PS/2019,2,09/08/2021 (Pembacaan Putusan)
2909,2019,010III/KIP-PS/2019,1,2019-10-31 00:00:00
2909,2019,010III/KIP-PS/2019,2,2019-11-11 00:00:00
2909,2019,010III/KIP-PS/2019,3,18/11/2019 ( Mediasi)
2909,2019,010III/KIP-PS/2019,4,03/01/2020 (mediasi II)
2909,2019,010III/KIP-PS/2019,5,09/01/2020 (Pembacaan Putusan Mediasi)
2910,2019,011/III/KIP-PS/2019,1,2020-03-13 00:00:00
2914,2019,015/IV/KIP-PSI/2019,1,06/08/2021 (Pemeriksaan Awal)
2914,2019,015/IV/KIP-PSI/2019,2,09/08/2021 (Putusan)
2915,2019,016/IV/KIP-PSI/2019,1,19 September 2022 Putusan
2916,2019,017/IV/KIP-PSI/2019,1,18/08/2021 (Pemeriksaan Awal)
2916,2019,017/IV/KIP-PSI/2019,2,25/08/2021 Sidang Lanjutan II) Pembacaan Putusan
